address	name	kind	sources	facts	note
004062ad	ANIM_TickSeamlessSwitch	descriptive	docs animation-root-blending.md, animation-timing.md; blind review (medium); adjudicated PARTIAL	caller:00407b51; call:0045bb84; const:11c; const:128; ref:004c33e8	Same-pair switch: poses, root motion to velocity, finishes the blend at once.
004068be	ANIM_TickClip	descriptive	docs animation-root-blending.md, animation-timing.md; blind review (medium); adjudicated AGREE	caller:00407b51; ref:004a477c; call:0045bb84; const:180	Normal anim tick: pose current frame, root motion to velocity with speed flags, advance time, one-shot end.
00407089	ENT_TickAll	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated DOCSILENT	caller:GAME_Tick; call:00407b51; const:2d0; ref:004fb7a8; call:0041ec38	Per-frame pass over the entity pools (16 at 0x630db8, 32 at 0x4fb7a8 stride 0x2d0)
00407b51	ENT_TickEntity	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	caller:00407089; call:004058d5; call:004068be; call:00405f1f; call:004062ad	Per-entity update: angles, timed events, pending state, then blend/switch/normal anim tick.
0040ec46	INPUT_SetDeviceMode	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	ref:0049d2f8; caller:GAME_HandleHotkeys; caller:00436ab6; size:44	Stores the input device mode.
00410e5d	AI_ResetSquadNode	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	caller:004115a1; const:19c; const:20c; const:1d0	Zeroes a squad node's state.
00410f03	AI_AddSquadMember	descriptive	docs ai-animation-runtime.md, research-log.md; blind review (high); adjudicated AGREE	size:82; const:1ac; const:1a0; caller:004115a1	Adds a child to a group.
004115a1	AI_BuildSquads	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated PARTIAL	ref:004fb7a8; ref:005df474; const:2d0; call:00410f03; caller:004440aa	Rebuilds the squad tree (members, squads, top groups)
0041208f	AI_ApplySquadOrderTable	descriptive	docs ai-animation-runtime.md; blind review (medium); adjudicated AGREE	ref:0049d5a0; ref:00661e04; const:50; caller:00415109	Per-project order transition table per squad.
004131a4	AI_ScanNearbyActors	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	call:004608e7; const:2000; ref:005011a8; const:1dc	Perception: sorted enemy and ally lists (cap 5)
00413b3b	AI_DispatchSquadOrders	descriptive	docs ai-animation-runtime.md; blind review (medium); adjudicated AGREE	call:0041304c; call:00413684; call:004138f9; const:214; caller:00415109	Squad order dispatcher.
00414646	AI_TickCombat	descriptive	docs ai-animation-runtime.md; blind review (medium); adjudicated PARTIAL	call:rand_; call:00405118; const:194; const:5fff; call:004145c3	Per-member melee combat decision.
00414b24	AI_RunMemberOrders	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	size:105; call:004144c8; call:0041447d; call:00414646	Runs a member's order bits.
00414d61	AI_UpdateMemberStatus	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	call:004131a4; const:258; call:00414c64; call:0043f254	Member sensing and status bits.
00414f6d	AI_AggregateSquadStatus	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	const:800; const:1b1; size:412; caller:00415109	ORs member status into the squad.
00415109	AI_TickSquads	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	caller:GAME_Tick; call:0041208f; call:00414f6d; ref:005df46c	Per-frame squad AI tick.
00415201	STRM_Create	descriptive	blind review (high); adjudicated UNSURE	call:004602d5; caller:GAME_Init; size:189; const:2c	Constructor of the 0x2c-byte ring-buffer stream.
004158e2	VID_Swap	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	call:0044549b; caller:CD_PromptSwap; caller:CD_PrepareLevel; ref:005e5498; size:74	Toggles the double-buffer index, presents.
00415aa7	GAME_HandleHotkeys	descriptive	docs engine.md, research-log.md; blind review (medium); adjudicated AGREE	str:True Shadow; str:Girl Power; str:Camera 1; call:MGM_SendMessage; const:4b	Per-frame hotkeys.
00415f00	GAME_InitSubsystems	descriptive	docs boot-sequence.md; blind review (medium); adjudicated PARTIAL	str:Sound Is On; str:Audio CD Is On; str:can't create MGM; call:INPUT_Init; caller:WinMain	Game-side start-up: event queue, INPUT_Init, main handler, sound, audio CD, optional intro.
00416606	DBG_DrawObjectInfo	descriptive	docs dsn-loader.md, file-formats.md; blind review (high); adjudicated AGREE	str:Debug Info; str:Object PHY Speed; call:0044d5c7; call:_itoa_; ref:0049d5d0	Debug overlay.
0041745e	WinMain	recovered	docs boot-sequence.md; blind review (high); adjudicated AGREE	caller:__NTMain; call:GAME_Init; call:00436481; call:MGM_DispatchMessages	Entry point: called by the Watcom runtime __NTMain (0x48646d); init, front end and game loop, shutdown.
004175bc	DSN_LoadHeader	descriptive	docs dsn-loader.md; blind review (high); adjudicated AGREE	str:DSNF; str:.3DI; call:STRM_Open; caller:0041da7d; ref:005df49c	Opens a DSN container: magic, map names and records.
004177f5	DSN_LoadMaterialsAndFaces	descriptive	docs dsn-loader.md; blind review (high); adjudicated AGREE	call:LZ_Unpack; call:STRM_Peek; caller:0041c666; const:8000	Reads the .3DC chunk (type 1) and LZ_Unpacks it.
004178fe	DSN_LoadVertexPool	descriptive	docs dsn-loader.md; blind review (high); adjudicated AGREE	call:LZ_Unpack; call:strupr_; caller:0041c666; const:40	Reads the .3DI chunk (type 2)
00417afd	DSN_LoadTextures	descriptive	docs dsn-loader.md, file-formats.md; blind review (medium); adjudicated AGREE	str:map %s not used; const:3c00; const:c00; caller:004240ba; ref:005dfb88	Streams the texture maps in 32 steps (type 3 palettes, type 4 slices)
00417d78	DSN_BlitTileToPage	descriptive	docs dsn-loader.md; blind review (medium); adjudicated AGREE	call:00401090; caller:DSN_LoadTextures; ref:0049d7f0; ref:0049d8f0; ref:0049d5f0	Copies one tile into a 256-wide texture page.
00417fe7	VID_RestoreBackground	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	call:00445bf2; call:memcpy_; call:00445c3f; caller:004337c0; ref:005e1090	Copies the saved background over g_frameBuffer.
004184d3	UI_PrimeGaugeFire	descriptive	docs research-log.md; blind review (medium); adjudicated AGREE	call:00403b60; caller:BOOT_Run; size:64	Runs the fire step 8 times at boot.
0041c666	RES_ReadFile	descriptive	docs dsn-loader.md, re-setup.md; blind review (medium); adjudicated AGREE	caller:RES_Load; call:DSN_Create3DM; call:DAN_Load3DA; str:%s%s; str:.3DA	File loader behind RES_Load: routes to DSN/DAN readers or reads the raw body.
0041cb77	ENT_InitDefaults	descriptive	docs animation-timing.md; blind review (high); adjudicated AGREE	call:memset_; const:2d0; caller:ENT_LoadObject; caller:ENT_InstantiateFromObjet	Clears a 0x2d0 entity and sets defaults (rate 1.5 ...)
0041da7d	ENT_LoadModel	descriptive	docs dsn-loader.md; blind review (medium); adjudicated AGREE	str:can't find DSN file; str:No 3di file; call:DAN_OpenArchive; call:004175bc; caller:0041deb8	Loads one actor's model (DSN, DAN, .3DC, .3DI, anim set)
0041deb8	ENT_InstantiateFromObjet	descriptive	docs ai-animation-runtime.md; blind review (medium); adjudicated AGREE	call:0041da7d; call:0041dd8b; caller:0041f9db; ref:004fbd48; str:data/3dc/	Spawns an actor from a scene object definition.
0041f42e	SCENE_InitLevel	descriptive	docs ai-animation-runtime.md, animation-timing.md; blind review (medium); adjudicated PARTIAL	call:ENT_LoadObject; call:ANIM_LoadEntitySet; call:CAM_CompCameraPos; caller:SCENE_LoadLevel; const:4298b852	Scene start-up after loading: world state, per-level settings, player avatar and anims, module inits, camera.
0041f9db	SCENE_LoadLevel	descriptive	docs ai-animation-runtime.md, boot-sequence.md; blind review (medium); adjudicated PARTIAL	call:CD_PrepareLevel; call:0041deb8; call:00417afd; ref:00661e08; const:6c0	Level loader when the pending-load flag is set.
00420b60	SCENE_CheckExits	descriptive	docs research-log.md, sprites-ui-dialog.md; blind review (medium); adjudicated PARTIAL	str:Project0; str:\hnm\; call:DDAT_LoadRecord; caller:GAME_Tick; const:41700000	Checks up to 8 exit zones, loads the target scene; player death restart via Project0.
004231f0	ENT_UpdateSwimming	descriptive	docs research-log.md, sprites-ui-dialog.md; blind review (medium); adjudicated AGREE	ref:005e5490; call:rand_; call:0042315a; call:00419f02; caller:00407b51	Per-actor water update: swim state, splash, air refill, bubbles.
00423399	ENT_TickPlayerStatus	descriptive	docs research-log.md, sprites-ui-dialog.md; blind review (medium); adjudicated PARTIAL	str:Manual Fight; str:Automatic Fight; call:SW_SelectFlush; call:00443853; ref:005e5490	Player per-frame status: hazards, water/air, fight-mode toggle, stamina.
004240ba	GAME_Tick	descriptive	docs ai-animation-runtime.md, boot-sequence.md; blind review (medium); adjudicated PARTIAL	str:END.DSN; str:Pause; str:tete_e~1.hnm; call:0041f9db; call:MGM_SendMessage	Per-frame game tick.
0042493b	INPUT_PostEvents	descriptive	docs animation-timing.md, engine.md; blind review (medium); adjudicated AGREE	imp:QueryPerformanceCounter; call:00440757; call:0043b31a; caller:MGM_DispatchMessages; ref:005e54bb	Polls keyboard/joysticks and queues messages 0x33/0x3b/0x3d/0x39/0x3a.
00424b4f	SYS_SetTimerRates	descriptive	docs animation-timing.md; blind review (medium); adjudicated AGREE	call:00440802; caller:MGM_SendMessage; ref:005e54b8; ref:005e54ac	Message handler setting the two timer rates.
00424c5f	JOY_EnablePov	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	ref:005e54bb; caller:MGM_SendMessage; size:40	Sets the joystick-1 (POV reader) event gate.
00424c87	JOY_DisablePov	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	ref:005e54bb; caller:MGM_SendMessage; size:40	Clears it.
00424caf	JOY_Enable	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	ref:005e54ba; caller:MGM_SendMessage; size:40	Sets the joystick-2 event gate.
00424cd7	JOY_Disable	descriptive	docs engine.md; blind review (medium); adjudicated AGREE	ref:005e54ba; caller:MGM_SendMessage; size:40	Clears it.
00424f7e	SPR_InitMulTables	descriptive	docs file-formats.md, research-log.md, sprites-ui-dialog.md; blind review (high); adjudicated PARTIAL	caller:SPR_LoadSet; caller:SPR_LoadIconBanks; const:40; size:165	Fills the 32x32 and 64x64 multiply tables.
